
// PlayAG Hud Config !!

//game name		res spr name	X	Y	X2	Y2

121 //number of sprites listed below
selection		320 320hud1	160	160	80	20

bucket1			320 320hud2	108	16	12	12
bucket2			320 320hud2	108	28	12	12
bucket3			320 320hud2	108	40	12	12	
bucket4			320 320hud2	108	52	12	12
bucket5			320 320hud2	108	64	12	12					
bucket0			320 320hud2	108	76	12	12

dmg_bio			320 320hud4	0	0	32	32
dmg_poison		320 320hud4	0	0	32	32
dmg_chem		320 320hud4	32	0	32	32
dmg_cold		320 320hud4	64	0	32	32
dmg_drown		320 320hud4	96	0	32	32
dmg_heat		320 320hud4	128	0	32	32
dmg_gas			320 320hud4	160	0	32	32
dmg_rad			320 320hud4	192	0	32	32
dmg_shock		320 320hud4	224	0	32	32

number_0		640 0		0	0	32	32
number_1		640 1		0	0	32	32
number_2		640 2		0	0	32	32
number_3		640 3		0	0	32	32
number_4		640 4		0	0	32	32
number_5		640 5		0	0	32	32
number_6		640 6		0	0	32	32
number_7		640 7		0	0	32	32
number_8		640 8		0	0	32	32
number_9		640 9		0	0	32	32

divider			320 320hud2	120	0	1	20

cross			320 320hud2	0	72	16	16

suit_full		320 320hud2	0	52	20	20
suit_empty		320 320hud2	20	52	20	20

flash_full		320 320hud2	16	72	18	16
flash_empty		320 320hud2	34	72	18	16
flash_beam		320 320hud2	52	72	6	16

train_back		320	320hud3 0	0	48	48
train_stop		320	320hud3 48	0	48	48
train_forward1		320	320hud3 96	0	48	48
train_forward2		320	320hud3 144	0	48	48
train_forward3		320	320hud3 192	0	48	48

title_half		320 320hud3 0	48	128	16
title_life		320 320hud3 128 48	116	16

d_crowbar		320	320hud1	0	208	48	16
d_9mmhandgun		320	320hud1	0	224	32	16
d_357			320	320hud1	0	240	32	16
d_9mmAR			320	320hud1	48	208	48	16
d_shotgun		320	320hud1	48	224	48	16
d_bolt			320	320hud1	48	240	48	16
d_crossbow		320	320hud1	48	240	48	16
d_rpg_rocket		320	320hud1	96	208	48	16
d_gauss			320	320hud1	96	224	32	16
d_egon			320	320hud1	96	240	32	16
d_hornet		320	320hud1	144	208	48	16
d_grenade		320	320hud1	144	224	32	16
d_satchel		320	320hud1	144	240	32	16
d_tripmine		320	320hud1	192	208	32	16
d_snark			320	320hud1	192	224	32	16
d_skull			320	320hud1	192	240	32	16
d_tracktrain		320	320hud1	224	208	32	16

item_battery		320 	320hud2	48	52	20	20
item_healthkit		320	320hud2	68	52	20	20
item_longjump		320	320hud2	88	52	20	20

//===========================================


selection		640 640hud3	0	180	170	45

bucket1			640 640hud7	168	72	20	20
bucket2			640 640hud7	188	72	20	20		
bucket3			640 640hud7	208	72	20	20		
bucket4			640 640hud7	168	92	20	20		
bucket5			640 640hud7	188	92	20	20		
bucket0			640 640hud7	208	92	20	20		

dmg_poison		640 640hud8	128	0	64	64
dmg_bio			640 640hud8	128	0	64	64
dmg_chem		640 640hud8	0	0	64	64
dmg_drown		640 640hud8	64	0	64	64
dmg_gas			640 640hud9	0	0	64	64
dmg_cold		640 640hud9	64	0	64	64
dmg_heat		640 640hud9	128	0	64	64
dmg_rad			640 640hud9	192	0	64	64
dmg_shock		640 640hud8	192	0	64	64

number_0		640 0		0	0	32	32
number_1		640 1		0	0	32	32
number_2		640 2		0	0	32	32
number_3		640 3		0	0	32	32
number_4		640 4		0	0	32	32
number_5		640 5		0	0	32	32
number_6		640 6		0	0	32	32
number_7		640 7		0	0	32	32
number_8		640 8		0	0	32	32
number_9		640 9		0	0	32	32

divider			640 640hud7	240	0	2	2

cross			640 	h		0	0	32	32

suit_full		640 	battery		0	0	40	40
suit_empty		640 	battery2	0	0	40	40

flash_full		640 640hud7	160	24	32	32
flash_empty		640 640hud7	112	24	32	32
flash_beam		640 640hud7 	144	24	16	32

train_back		640	640hud5 170	0	72	72
train_stop		640	640hud5 170	72	72	72
train_forward1		640	640hud5 170	144	72	72
train_forward2		640	640hud6 170	0	72	72
train_forward3		640	640hud6 170	72	72	72

autoaim_c		640	crosshairs	96	0	24	24

title_half		640 	640hud4	0	226	256	30
title_life		640 	640hud5	0	226	220	30

d_crowbar		640	levvye	0	0	72	24
d_9mmhandgun		640	tabanca	0	0	32	24
d_357			640	magnum	0	0	40	24
d_9mmAR			640	9mmr	0	0	64	24
d_shotgun		640	sgun	0	0	64	24
d_bolt			640	bbow	0	0	64	24
d_crossbow		640	cbow	0	0	64	24
d_rpg_rocket		640	roket	0	0	64	24
d_gauss			640	tau	0	0	64	24
d_egon			640	gloun	0	0	40	24
d_hornet		640	sinek	0	0	48	24
d_grenade		640	bomba	0	0	40	24
d_satchel		640	c4	0	0	24	24
d_tripmine		640	tmine	0	0	40	24
d_snark			640	boccek	0	0	24	24
d_skull			640	kafa	0	0	24	24
d_tracktrain		640	kafa2	0	0	24	24

item_battery		640 	armor	0	0	64	64
item_healthkit		640 	hp	0	0	64	64
item_longjump		640 	lj	0	0	64	64
